Default,term,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_high,inq_last_6mths,pub_rec,revol_bal,revol_util,total_acc,total_rec_int,recoveries,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,last_fico_range_high,last_fico_range_low,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,total_bc_limit
Fully Paid,1,123.03,3,299,3,1,55000,1,3,4,80,34,5.91,0,49,679,1,0,2765,29.7,13,821.72,0,16,122.67,26,564,560,722,144904,2,2,0,1,21,4981,36,3,3,722,34,9300,3,1,4,4,20701,1506,37.2,148,128,3,3,1,4,4,2,2,2,5,3,4,9,4,7,3,76.9,0,0,2400
Fully Paid,1,820.28,3,209,3,1,65000,1,10,1,248,37,16.06,1,71,719,4,0,21470,19.2,38,979.66,0,20,926.35,26,699,695,0,204396,1,1,0,1,19,18005,73,2,3,6472,29,111800,0,0,6,4,9733,57830,27.1,113,192,2,2,4,2,0,0,5,13,17,6,20,27,5,22,2,97.4,7.7,0,79300
Fully Paid,2,432.66,2,623,3,1,63000,1,4,4,253,12,10.78,0,46,699,0,0,7869,56.2,18,2705.92,0,21,15813.3,26,704,700,0,189699,0,1,0,4,19,10827,73,0,2,2081,65,14000,2,5,1,6,31617,2737,55.9,125,184,14,14,5,101,10,0,2,2,4,6,4,7,3,6,0,100,50,0,6200
Fully Paid,2,289.91,6,126,5,1,104433,2,6,7,76,34,25.37,1,174,699,3,0,21929,64.5,35,1340.5,0,17,10128.96,25,704,700,0,331730,1,3,0,3,14,73839,84,4,7,9702,78,34000,2,1,3,10,27644,4567,77.5,128,210,4,4,6,4,1,0,4,5,9,10,7,19,6,12,4,96.6,60,0,20300
Fully Paid,1,405.18,3,633,6,3,34000,2,3,4,137,10,10.2,0,272,694,0,0,8822,68.4,6,1758.95,0,28,7653.56,27,759,755,0,12798,0,1,0,0,338,3976,99,0,0,4522,76,12900,0,0,0,0,2560,844,91,338,54,32,32,0,36,5,0,2,2,2,2,4,4,3,5,0,100,100,0,9400
Fully Paid,1,637.58,2,636,3,1,180000,1,3,4,241,20,14.67,0,166,684,0,0,87329,84.5,27,1393.8,0,30,15681.05,26,654,650,0,360358,0,2,0,2,18,29433,63,2,3,13048,74,94200,1,0,1,6,30030,0,102.9,142,306,10,10,4,12,10,0,4,4,5,7,9,16,6,12,2,96.3,100,0,31500
Fully Paid,1,631.26,2,481,3,1,85000,1,6,7,131,36,17.61,1,97,709,0,0,826,5.7,15,1538.51,0,14,14618.23,26,674,670,0,141601,0,3,0,4,13,27111,75,0,0,640,55,14500,1,0,2,4,17700,13674,5.7,149,55,32,13,3,32,8,1,2,3,3,9,3,3,2,8,0,93.3,0,0,14500
Fully Paid,1,306.45,1,540,8,3,85000,1,2,3,71,34,13.07,0,21,689,1,1,10464,34.5,23,998.97,0,6,1814.48,26,719,715,8341,27957,2,1,0,0,35,17493,57,2,7,2524,46,30300,2,0,1,7,1997,8182,50.1,164,129,1,1,1,4,1,0,6,7,10,3,13,19,9,14,2,95.7,28.6,1,16400
Fully Paid,1,263.74,2,631,3,1,42000,1,2,3,16,35,34.8,0,251,704,0,0,7034,39.1,18,939.58,0,2,4996.24,31,679,675,0,199696,0,2,2,3,10,106748,72,0,2,4725,49,18000,0,0,1,5,28528,9966,41.4,155,253,15,10,1,50,10,1,3,3,6,5,5,11,3,8,2,94.4,33.3,0,17000
Fully Paid,1,47.1,3,314,5,1,64000,1,9,4,121,24,34.95,0,172,704,0,0,37828,67.2,24,175.16,0,24,965.36,37,704,700,0,325695,1,3,1,2,2,37430,67,0,2,7386,67,56300,0,2,0,4,19159,7940,77,46,234,18,2,4,28,18,0,7,8,11,3,12,17,11,17,1,100,75,0,34500
Charged Off,2,471.7,5,557,9,3,150000,1,3,4,342,4,9.39,0,181,669,1,1,14052,40.7,27,4351.98,1618.9,28,471.7,30,584,580,60,36247,2,2,1,3,2,22195,71,2,4,1271,55,34500,2,1,2,7,2014,5128,51.3,115,112,1,1,2,9,2,0,6,7,8,6,16,19,13,18,3,100,14.3,1,10300
