loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
3600,3600,3600,1,13.99,123.03,3,14,300,4,1,55000,1,1,2,3,5,80,34,5.91,0,49,675,679,1,30,NA,7,0,2765,29.7,13,2,0,0,4421.723917,4421.72,3600,821.72,0,0,0,16,122.67,1,26,564,560,0,30,1,1,NA,NA,1,0,722,144904,2,2,0,1,21,4981,36,3,3,722,34,9300,3,1,4,4,20701,1506,37.2,0,0,148,128,3,3,1,4,69,4,69,2,2,4,2,5,3,4,9,4,7,0,0,0,3,76.9,0,0,0,178050,7746,2400,13734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
24700,24700,24700,1,11.99,820.28,3,11,210,4,1,65000,1,1,2,10,2,248,37,16.06,1,71,715,719,4,6,NA,22,0,21470,19.2,38,2,0,0,25679.66,25679.66,24700,979.66,0,0,0,20,926.35,1,26,699,695,0,NA,1,1,NA,NA,1,0,0,204396,1,1,0,1,19,18005,73,2,3,6472,29,111800,0,0,6,4,9733,57830,27.1,0,0,113,192,2,2,4,2,NA,0,6,0,5,5,13,17,6,20,27,5,22,0,0,0,2,97.4,7.7,0,0,314017,39475,79300,24667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
20000,20000,20000,2,10.78,432.66,2,9,624,4,1,63000,1,1,2,4,1,253,12,10.78,0,46,695,699,0,NA,NA,6,0,7869,56.2,18,2,0,0,22705.92429,22705.92,20000,2705.92,0,0,0,21,15813.3,1,26,704,700,0,NA,1,2,71000,13.85,2,0,0,189699,0,1,0,4,19,10827,73,0,2,2081,65,14000,2,5,1,6,31617,2737,55.9,0,0,125,184,14,14,5,101,NA,10,NA,0,2,3,2,4,6,4,7,3,6,0,0,0,0,100,50,0,0,218418,18696,6200,14877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
10400,10400,10400,2,22.45,289.91,6,26,127,6,1,104433,2,1,2,6,8,76,34,25.37,1,174,695,699,3,12,NA,12,0,21929,64.5,35,2,0,0,11740.5,11740.5,10400,1340.5,0,0,0,17,10128.96,1,25,704,700,0,NA,1,1,NA,NA,1,0,0,331730,1,3,0,3,14,73839,84,4,7,9702,78,34000,2,1,3,10,27644,4567,77.5,0,0,128,210,4,4,6,4,12,1,12,0,4,6,5,9,10,7,19,6,12,0,0,0,4,96.6,60,0,0,439570,95768,20300,88097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
11950,11950,11950,1,13.44,405.18,3,13,634,7,3,34000,2,1,2,3,5,137,10,10.2,0,272,690,694,0,NA,NA,5,0,8822,68.4,6,2,0,0,13708.94853,13708.95,11950,1758.95,0,0,0,28,7653.56,1,27,759,755,0,NA,1,1,NA,NA,1,0,0,12798,0,1,0,0,338,3976,99,0,0,4522,76,12900,0,0,0,0,2560,844,91,0,0,338,54,32,32,0,36,NA,NA,NA,0,2,3,2,2,2,4,4,3,5,0,0,0,0,100,100,0,0,16900,12798,9400,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
20000,20000,20000,1,9.17,637.58,2,7,637,4,1,180000,1,1,2,3,5,241,20,14.67,0,166,680,684,0,49,NA,12,0,87329,84.5,27,1,0,0,21393.8,21393.8,20000,1393.8,0,0,0,30,15681.05,1,26,654,650,0,NA,1,1,NA,NA,1,0,0,360358,0,2,0,2,18,29433,63,2,3,13048,74,94200,1,0,1,6,30030,0,102.9,0,0,142,306,10,10,4,12,NA,10,NA,0,4,6,4,5,7,9,16,6,12,0,0,0,2,96.3,100,0,0,388852,116762,31500,46452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
20000,20000,20000,1,8.49,631.26,2,6,482,4,1,85000,1,1,2,6,8,131,36,17.61,1,97,705,709,0,3,NA,8,0,826,5.7,15,2,0,0,21538.50898,21538.51,20000,1538.51,0,0,0,14,14618.23,1,26,674,670,0,3,1,1,NA,NA,1,0,0,141601,0,3,0,4,13,27111,75,0,0,640,55,14500,1,0,2,4,17700,13674,5.7,0,0,149,55,32,13,3,32,NA,8,NA,1,2,2,3,3,9,3,3,2,8,0,0,1,0,93.3,0,0,0,193390,27937,14500,36144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
10000,10000,10000,1,6.49,306.45,1,2,541,9,3,85000,1,1,2,2,4,71,34,13.07,0,21,685,689,1,NA,106,14,1,10464,34.5,23,2,0,0,10998.97157,10998.97,10000,998.97,0,0,0,6,1814.48,1,26,719,715,0,NA,1,1,NA,NA,1,0,8341,27957,2,1,0,0,35,17493,57,2,7,2524,46,30300,2,0,1,7,1997,8182,50.1,0,0,164,129,1,1,1,4,NA,1,NA,0,6,9,7,10,3,13,19,9,14,0,0,0,2,95.7,28.6,1,0,61099,27957,16400,30799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
8000,8000,8000,1,11.48,263.74,2,10,632,4,1,42000,1,1,2,2,4,16,35,34.8,0,251,700,704,0,75,NA,8,0,7034,39.1,18,2,0,0,8939.580503,8939.58,8000,939.58,0,0,0,2,4996.24,1,31,679,675,0,75,1,1,NA,NA,1,0,0,199696,0,2,2,3,10,106748,72,0,2,4725,49,18000,0,0,1,5,28528,9966,41.4,0,0,155,253,15,10,1,50,NA,10,NA,1,3,3,3,6,5,5,11,3,8,0,0,0,2,94.4,33.3,0,0,256513,113782,17000,135513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
1400,1400,1400,1,12.88,47.1,3,12,315,6,1,64000,1,1,2,9,1,121,24,34.95,0,172,700,704,0,NA,NA,17,0,37828,67.2,24,2,0,0,1575.160698,1575.16,1400,175.16,0,0,0,24,965.36,1,37,704,700,0,NA,1,1,NA,NA,1,0,0,325695,1,3,1,2,2,37430,67,0,2,7386,67,56300,0,2,0,4,19159,7940,77,0,0,46,234,18,2,4,28,NA,18,NA,0,7,11,8,11,3,12,17,11,17,0,0,0,1,100,75,0,0,372109,75258,34500,55501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
