ticker,in_return,in_sd,in_Sharpe,out_return,out_sd,out_Sharpe,Sharpe_diff
AAPL.Close,-0.054771548,0.274736542,-0.1994,-0.082373325,0.232998125,-0.3535,0.1541
MSFT.Close,-0.078800752,0.243948222,-0.323,-0.005142083,0.166862435,-0.0308,-0.2922
GOOG.Close,0.043568448,0.235704082,0.1848,-0.068190806,0.178061256,-0.383,0.5678
GOOGL.Close,0.006336247,0.23894229,0.0265,-0.039257458,0.183139975,-0.2144,0.2409
AMZN.Close,-0.016509915,0.278815934,-0.0592,-0.035770361,0.290496523,-0.1231,0.0639
TSLA.Close,0.564098218,0.566668569,0.9955,0.532664333,0.459517252,1.1592,-0.1637
BRK.A.Close,0.140737547,0.204547588,0.688,0.197126862,0.130008956,1.5163,-0.8283
BRK.B.Close,0.113667804,0.217078961,0.5236,0.279359565,0.12476732,2.239,-1.7154
TSM.Close,-0.135791198,0.302166337,-0.4494,-0.121677232,0.229389767,-0.5304,0.081
JNJ.Close,-0.045681603,0.174634952,-0.2616,0.011710717,0.101294956,0.1156,-0.3772
UNH.Close,-0.238184712,0.23038356,-1.0339,0.005128665,0.154143157,0.0333,-1.0672
NVDA.Close,-0.003518902,0.39667993,-0.0089,0.416359213,0.380123996,1.0953,-1.1042
V.Close,-0.23978123,0.251747269,-0.9525,-0.36147475,0.219532527,-1.6466,0.6941
JPM.Close,-0.143866097,0.283643131,-0.5072,-0.12562679,0.16613618,-0.7562,0.249
XOM.Close,0.092075088,0.304223374,0.3027,0.185703677,0.178043454,1.043,-0.7403
BAC.Close,0.027169757,0.335581863,0.081,-0.01157073,0.202206382,-0.0572,0.1382
PG.Close,-0.174387932,0.193532019,-0.9011,-0.05511569,0.139064324,-0.3963,-0.5048
WMT.Close,-0.019452417,0.211039866,-0.0922,0.346315491,0.195972681,1.7672,-1.8594
MA.Close,-0.240473294,0.302814029,-0.7941,-0.331182311,0.228413707,-1.4499,0.6558
CVX.Close,0.061196044,0.353128604,0.1733,-0.036043245,0.17824383,-0.2022,0.3755
JPM.PC.Close,0.036638061,0.091548163,0.4002,0.044221019,0.0560662,0.7887,-0.3885
JPM.PD.Close,0.073801219,0.119150118,0.6194,0.070107878,0.074292883,0.9437,-0.3243
NSRGY.Close,-0.041047764,0.148506082,-0.2764,0.09562432,0.118810566,0.8048,-1.0812
NSRGF.Close,-0.223354678,0.176060601,-1.2686,-0.210133138,0.15186225,-1.3837,0.1151
LVMUY.Close,-0.108547037,0.273688908,-0.3966,-0.101687079,0.243803986,-0.4171,0.0205
BAC.PK.Close,0.017871194,0.127218105,0.1405,0.001189315,0.066447285,0.0179,0.1226
HD.Close,-0.118775728,0.270121504,-0.4397,-0.264119711,0.152496856,-1.732,1.2923
LVMHF.Close,-0.110044243,0.278456756,-0.3952,0.039329449,0.245196287,0.1604,-0.5556
BAC.PL.Close,0.092809268,0.181929185,0.5101,0.078737501,0.064391813,1.2228,-0.7127
PFE.Close,0.143116793,0.21433358,0.6677,0.586779544,0.209836903,2.7964,-2.1287
RHHBF.Close,-0.667692583,0.326424294,-2.0455,-0.66005768,0.339087163,-1.9466,-0.0989
RHHBY.Close,-0.193829908,0.205226653,-0.9445,0.20823607,0.150865209,1.3803,-2.3248
RHHVF.Close,-0.350962663,0.228496544,-1.536,-0.10717395,0.232975362,-0.46,-1.076
KO.Close,-0.038464295,0.208076614,-0.1849,-0.023579715,0.120212779,-0.1961,0.0112
BML.PL.Close,0.080512936,0.157429899,0.5114,0.025916243,0.106108808,0.2442,0.2672
BAC.PE.Close,0.030290452,0.147118879,0.2059,-0.015751632,0.089517125,-0.176,0.3819
ABBV.Close,-0.046764186,0.181532252,-0.2576,-0.061336945,0.130629216,-0.4695,0.2119
BML.PG.Close,0.055746772,0.241299254,0.231,0.058062017,0.125734916,0.4618,-0.2308
BAC.PB.Close,-0.005228159,0.11848988,-0.0441,-0.092133881,0.061171139,-1.5062,1.4621
BML.PH.Close,0.161863489,0.195435016,0.8282,0.134556819,0.104884188,1.2829,-0.4547
BML.PJ.Close,0.016131754,0.181746491,0.0888,-0.057077517,0.118670381,-0.481,0.5698
AVGO.Close,-0.075375843,0.325134772,-0.2318,-0.200353733,0.208907165,-0.9591,0.7273
NVO.Close,-0.026372758,0.206788386,-0.1275,0.108780853,0.224570355,0.4844,-0.6119
NONOF.Close,-0.394870452,0.260174936,-1.5177,-0.336826811,0.261855709,-1.2863,-0.2314
IDCBF.Close,-0.504813677,0.275133644,-1.8348,-0.356762282,0.173536823,-2.0558,0.221
IDCBY.Close,-0.137278674,0.156381173,-0.8778,-0.048743146,0.108131198,-0.4508,-0.427
PEP.Close,-0.111518361,0.232256327,-0.4802,-0.128927291,0.111909277,-1.1521,0.6719
MRK.Close,-0.090688256,0.178796744,-0.5072,0.135418358,0.172975693,0.7829,-1.2901
ASML.Close,-0.186190323,0.309298947,-0.602,-0.049203646,0.24674669,-0.1994,-0.4026
ASMLF.Close,-0.305374694,0.363839237,-0.8393,-0.033838542,0.294948445,-0.1147,-0.7246
TM.Close,-0.091717493,0.214469233,-0.4276,-0.118928664,0.211213476,-0.5631,0.1355
